,p_id,name,price,colour,brand,brand_id
5992,13707196.0,Fabindia Women White & Golden Printed Panelled A-Line Tunic,2490.0,White,Fabindia,278
5993,15709312.0,Fabindia Mustard Pure Silk Block Print Saree,8990.0,Mustard,Fabindia,278
5994,13697626.0,Fabindia Yellow Pure Cotton Dobby Self-Design Top,1290.0,Yellow,Fabindia,278
5995,15875548.0,Fabindia Women White Parallel Trousers,1990.0,White,Fabindia,278
5996,18456682.0,Fabindia Women Mustard Yellow Pure Cotton Straight Knee Length Kurta,1699.0,Mustard,Fabindia,278
5997,17393982.0,Fabindia Women Purple Ethnic Motifs Printed Tapered Fit Cotton Linen Trousers,1290.0,Purple,Fabindia,278
5998,18456692.0,Fabindia Women White & Pink Pure Cotton Floral Printed Knee Length Kurta,2399.0,White,Fabindia,278
5999,17409656.0,Fabindia Girls Maroon & Gold-Toned Embellished Ready to Wear Lehenga Set,2299.0,Maroon,Fabindia,278
6000,17625284.0,Fabindia Women Black & Maroon Bagh Printed Pure Silk Dupatta,3599.0,Black,Fabindia,278
6001,17329652.0,Fabindia Women Pink Ethnic Motifs Printed Cotton Silk Dupatta,1730.0,Pink,Fabindia,278
6002,17348208.0,Fabindia White & Golden Embroidered Cotton Silk Dupatta,2999.0,White,Fabindia,278
6003,17268120.0,Fabindia Peach-Coloured Cotton Silk Jamdani Dupatta,2999.0,Peach,Fabindia,278
